,coef
wday,-2.280265500177405e-06
month,0.10491587185303672
year,1.4815741219515057
snap_TX,0.10392720991165673
has_event,-0.19396127381751938
avg_sell_price,0.6755972723184879
ar.L1,1.0000466659555765
ma.L1,-0.9528247496897605
ar.S.L7,0.031796577587767265
ma.S.L7,-1.0003552875997221
sigma2,0.10890063323653405
